0008  NV1 [STG2000X-B Series]
0009  NV1 [NV1 Series]
0018  NV3 [Riva 128]
0019  NV3 [Riva 128ZX]
0020  NV4 [Riva TNT]
0028  NV5 [Riva TNT2 / TNT2 Pro]
0029  NV5 [Riva TNT2 Ultra]
002a  NV5 [Riva TNT2]
002b  NV5 [Riva TNT2]
002c  NV5 [Vanta / Vanta LT]
002d  NV5 [Riva TNT2 Model 64 / Model 64 Pro]
0034  MCP04 SMBus
0035  MCP04 IDE
0036  MCP04 Serial ATA Controller
0037  MCP04 Ethernet Controller
0038  MCP04 Ethernet Controller
003a  MCP04 AC'97 Audio Controller
003b  MCP04 USB Controller
003c  MCP04 USB Controller
003d  MCP04 PCI Bridge
003e  MCP04 Serial ATA Controller
0040  NV40 [GeForce 6800 Ultra]
0041  NV40 [GeForce 6800]
0042  NV40 [GeForce 6800 LE]
0043  NV40 [GeForce 6800 XE]
0044  NV40 [GeForce 6800 XT]
0045  NV40 [GeForce 6800 GT]
0047  NV40 [GeForce 6800 GS]
0048  NV40 [GeForce 6800 XT]
004e  NV40GL [Quadro FX 4000]
0050  CK804 ISA Bridge
0051  CK804 ISA Bridge
0052  CK804 SMBus
0053  CK804 IDE
0054  CK804 Serial ATA Controller
0055  CK804 Serial ATA Controller
0056  CK804 Ethernet Controller
0057  CK804 Ethernet Controller
0058  CK804 AC'97 Modem
0059  CK804 AC'97 Audio Controller
005a  CK804 USB Controller
005b  CK804 USB Controller
005c  CK804 PCI Bridge
005d  CK804 PCIE Bridge
005e  CK804 Memory Controller
005f  CK804 Memory Controller
0060  nForce2 ISA Bridge
0064  nForce2 SMBus (MCP)
0065  nForce2 IDE
0066  nForce2 Ethernet Controller
0067  nForce2 USB Controller
0068  nForce2 USB Controller
006a  nForce2 AC97 Audio Controller (MCP)
006b  nForce Audio Processing Unit
006c  nForce2 External PCI Bridge
006d  nForce2 PCI Bridge
006e  nForce2 FireWire (IEEE 1394) Controller
0080  MCP2A ISA bridge
0084  MCP2A SMBus
0085  MCP2A IDE
0086  MCP2A Ethernet Controller
0087  MCP2A USB Controller
0088  MCP2A USB Controller
008a  MCP2S AC'97 Audio Controller
008b  MCP2A PCI Bridge
008c  MCP2A Ethernet Controller
008e  nForce2 Serial ATA Controller
0090  G70 [GeForce 7800 GTX]
0091  G70 [GeForce 7800 GTX]
0092  G70 [GeForce 7800 GT]
0093  G70 [GeForce 7800 GS]
0094  High Definition Audio
0095  G70 [GeForce 7800 SLI]
0097  G70 [GeForce GTS 250]
0098  G70M [GeForce Go 7800]
0099  G70M [GeForce Go 7800 GTX]
009d  G70GL [Quadro FX 4500]
00a0  NV0A [Aladdin TNT2 IGP]
00c0  NV41 [GeForce 6800 GS]
00c1  NV41 [GeForce 6800]
00c2  NV41 [GeForce 6800 LE]
00c3  NV41 [GeForce 6800 XT]
00c5  NV41
00c6  NV41
00c7  NV41
00c8  NV41M [GeForce Go 6800]
00c9  NV41M [GeForce Go 6800 Ultra]
